paragraph,predict_label,count,different,empty,diff rate,empty rate
This is the Corporate Sustainability Report in both English and Chinese published,3,0,diff,,0.8133253301320528,0.41116446578631455
by Wistron Information Technology Services Wistron ITS This report contains,1,26,diff,empty,,
the sustainable strategies of Wistron ITS on Environment Social Engagement,10,10,,,,
and Governance ESG we hope this transparent disclosure of data will allow,0,12,diff,,,
stakeholders that care about Wistron ITS to gain a better understanding of our,10,26,diff,empty,,
ESG performances and results during 2021,3,26,diff,empty,,
The scope of this report covers Wistron ITS Taiwan China,12,26,diff,empty,,
The scope of the data in this report covers economic environmental and social,10,9,diff,,,
performance The methods of calculation are detailed in each chapter The,12,8,diff,,,
financial data in this report were compiled in accordance with the International,12,22,diff,,,
Financial Reporting Standards IFRS with the currency applied being NTD,12,11,diff,,,
Standards of compilation and guarantee this report follows the guidelines of,12,11,diff,,,
Global Sustainability Standards Board GSSB,14,0,diff,,,
Principles for TWSETPEx Listed Companies,4,26,diff,empty,,
Taiwan Stock Exchange Corporation Rules Governing the Preparation and Filing of Sustainability Reports by TWSE Listed Companies,12,0,diff,,,
Sustainability Accounting Standards Board SASB,12,0,diff,,,
They are based on the consolidated fiscal reports audited and cosigned by,12,26,diff,empty,,
The information and data in this report were provided by the respective,22,22,,,,
KPMG Taiwan and conform to the data reported in Wistron ITS public annual,12,22,diff,,,
departments We collected domestic and international economic environmental,12,9,diff,,,
reports There were no significant changes in the organization and supply chain,17,26,diff,empty,,
and social sustainability issues and understand the issues of concern to various,10,10,,,,
in the scope of this report and no information has been restated,12,26,diff,empty,,
stakeholders through multiple channels The ESG task force consolidated the,12,26,diff,empty,,
The Corporate Sustainability Report of Wistron ITS is published once a year The,3,0,diff,,,
report covers the period of January 1 to December 31 2021,12,26,diff,empty,,
data and used the process of discussion and systematic analysis to identify the,12,4,diff,,,
major themes related to the company Based on the themes the ESG task force,3,26,diff,empty,,
collected management and performance information and submitted them to the,12,8,diff,,,
ESG Implementation Office to review the accuracy of the content and compiled,12,26,diff,empty,,
a formal report We hope that a more transparent and complete disclosure,0,12,diff,,,
A b o u t,4,26,diff,empty,,
t h i s R e p o r t,12,26,diff,empty,,
of information will allow our stakeholders to better understand Wistron ITS,12,26,diff,empty,,
performance and achievements in corporate sustainability in 2021,3,0,diff,,,
Should there be any questions comments or suggestions regarding this report,12,26,diff,empty,,
feel free to let us know through the following channels,22,26,diff,empty,,
Wistron ITS ESG Service Development Department,3,4,diff,,,
HanYu Huang 886277458888 ext 8946 HanYuHuangwistronitscom,12,26,diff,empty,,
Address 32F No 93 Sec 1 Xintai 5th Rd Xizhi Dist New Taipei City 221 Taiwan,12,26,diff,empty,,
Recipient of the Sixth Taiwan Mittelstand Award,12,26,diff,empty,,
Top 5 of companies listed in the Corporate Governance Review,12,0,diff,,,
Top 5 of Small and Medium Cap Group in Corporate Governance Rating,18,0,diff,,,
H o n o r s,12,26,diff,empty,,
n S u s t a i n a b,12,26,diff,empty,,
i l i t y,4,26,diff,empty,,
Top 5 of Small and Medium Cap Group in the 7th Corporate Governance Rating,18,0,diff,,,
Top 5 of companies listed in the 7th Annual Corporate Governance Review,18,0,diff,,,
No anticompetitive or antitrust violations in the past three years,0,26,diff,empty,,
The total revenue of Wistron ITS in 2021 was NT6178 billion,12,26,diff,empty,,
A 21 increase compared to the year before,12,26,diff,empty,,
The total energy consumption in 2021 for Taiwan was reduced by 114 compared to 2020,24,24,,,,
Total emissions in 2021 for Taiwan decreased by 129 compared to 2020,25,21,diff,,,
The male to female mid to senior level,8,26,diff,empty,,
departmental and up manager ratio,11,26,diff,empty,,
Starting salary for new graduates,11,26,diff,empty,,
The starting salary for new graduates in Taiwan is 22x that of the legal minimum salary,11,12,diff,,,
The starting salary for new graduates in China is 505x that of the legal minimum salary,11,12,diff,,,
K e y P e r f o r m a n c e s,12,26,diff,empty,,
A Message from the Chairman CEO,7,26,diff,empty,,
Wistron ITS responded efficiently to the pandemic and the market in 2021 and,13,26,diff,empty,,
returned to the path of rapid revenue growth Demand in the Greater China,12,4,diff,,,
market continued to be strong and was the main driver of overall revenue growth,4,4,,,,
while business in Taiwan grew steadily In China we successfully tapped into our,3,26,diff,empty,,
target customer segments with the contribution from quality customers revenue,3,6,diff,,,
grew quarter by quarter and reached a record high in 2021,18,26,diff,empty,,
Over the years Wistron ITS has been cultivating the IT service field and has,2,6,diff,,,
developed the ability to provide global product services and crossregional,15,26,diff,empty,,
software development management and operation mechanism as well as,12,4,diff,,,
mastered the key technology service capabilities and successfully established,1,6,diff,,,
a crossregional integration and global delivery of software engineering,3,26,diff,empty,,
development system In 2021 we were selected as the only information service,1,4,diff,,,
provider to receive the Sixth Taiwan Mittelstand Award among 160 companies for,17,26,diff,empty,,
our outstanding IT services and global software delivery capabilities,1,26,diff,empty,,
As we are committed to corporate sustainability apart from focusing on our main,3,0,diff,,,
business operations and continuing to deliver the best possible performance we,3,8,diff,,,
also focused on sustainable development and ESGrelated issues We continue,10,4,diff,,,
to focus our efforts on the environment society and corporate governance In,12,0,diff,,,
regards to the environment we aim to become carbon neutral in response to,23,5,diff,,,
climate change and our clients initiatives to achieve 100 carbon neutrality in,13,25,diff,,,
their supply chains by 2030,17,26,diff,empty,,
A M e s s a g e,12,26,diff,empty,,
t h e C h a i r,12,26,diff,empty,,
m a n C E O,12,26,diff,empty,,
In regards to society we are focused on creating a happy work environment and,10,26,diff,empty,,
At the same time the digital employee service platform provides a friendly,15,6,diff,,,
promoting social diversity and inclusion At Wistron ITS we encourage our female,8,10,diff,,,
work environment and smooth workflow allowing employees to focus on the,11,26,diff,empty,,
colleagues to excel in their work We aim to promote and advance their careers,8,26,diff,empty,,
production of work results and reducing the burden of related administrative,15,26,diff,empty,,
As of the end of 2021 the percentage of female executives among all executives,8,26,diff,empty,,
matters This year we will enter the second phase of digital innovation to,15,3,diff,,,
was 461 and the percentage of female colleagues among all employees,8,26,diff,empty,,
enhance operational efficiency through further optimization and development,24,4,diff,,,
was34 These numbers are a testament to the fact that we encourage women,8,26,diff,empty,,
to join our company and recognize their performance which in turn leads to our,4,8,diff,,,
diverse and inclusive work environment and corporate culture,8,8,,,,
Looking ahead in 2022 as the use of emerging technologies will become more,15,26,diff,empty,,
and more widespread and technology will enter the daily life of people the global,15,26,diff,empty,,
information service industry will develop strongly and all industries will be in need,1,6,diff,,,
In terms of corporate governance we have actively implemented and,12,0,diff,,,
of software engineering We are confident in the future of the information service,1,6,diff,,,
strengthened corporate governance in recent years enhancing the functions,12,0,diff,,,
industry and aim for double growth in revenue and profit While we are working,4,4,,,,
and diversity of the Board of Directors focusing on stakeholder communication,8,6,diff,,,
to actively improve our operational performance we will also strive to protect the,3,8,diff,,,
and gradually promoting the improvement of systems and regulations to ensure,12,19,diff,,,
environment and care for society while responding to stakeholder needs with,10,0,diff,,,
the implementation of the spirit of corporate governance the protection of,12,0,diff,,,
authenticity We will continue to create positive impacts for society create an,10,26,diff,empty,,
shareholders rights and interests and the pursuit of sustainable operation In,10,10,,,,
innovative future and a better world,10,26,diff,empty,,
2021 Wistron ITS was ranked among the top 5 of listed companies in the,18,26,diff,empty,,
7th Annual Corporate Governance Review 2020 and among the top 5 of,12,0,diff,,,
listed companies in the small and medium cap group making it one of the top,18,26,diff,empty,,
corporate governance companies among the 1730 listed companies We are,18,0,diff,,,
fully committed to achieving the highest corporate governance goals,12,0,diff,,,
IT technology and services are Wistron ITS core competencies In the past,3,26,diff,empty,,
two years Wistron ITS has started its digital innovation and built an operation,15,3,diff,,,
support and digital system to support its 20000 employees with the aim of,8,26,diff,empty,,
promoting and supporting the regrowth of the Company The initial results have,18,26,diff,empty,,
been made allowing Wistron ITS to provide onestop services to clients more,6,26,diff,empty,,
efficiently and to ensure service quality,24,6,diff,,,
Wistron Information Technology Services Inc,1,26,diff,empty,,
A M e s s a g e,12,26,diff,empty,,
t h e C h a i r,12,26,diff,empty,,
m a n C E O,12,26,diff,empty,,
A Message from the Chairman CEO 8,7,26,diff,empty,,
Sustainable Management of Suppliers 107,17,11,diff,,,
The Road to Sustainable Governance 13,10,0,diff,,,
Vision and Objective of Sustainable Development 15,10,4,diff,,,
Environmental Management and Regulation Compliance 111,12,9,diff,,,
The Structure and Operation of Sustainable Governance 27,12,0,diff,,,
Stakeholder and Key Issue Analysis 29,10,0,diff,,,
Greenhouse Gas Emissions Management 117,25,25,,,,
Boundaries of Material Issues 39,4,26,diff,empty,,
Management Approach of Material Issues 41,10,11,diff,,,
Friendly Workplace and Social Engagement 129,10,8,diff,,,
Talent Cultivation and Career Development 149,8,8,,,,
Cultivate and Recruit Software Talent 167,8,8,,,,
Employee Health and Workplace Safety 169,9,9,,,,
Participation in External Organizations 58,12,26,diff,empty,,
SASB Sustainability Accounting Standards Board 193,12,0,diff,,,
T a b l e o f,12,26,diff,empty,,
c o n t e n t s,12,26,diff,empty,,
The Road to Sustainable Governance,12,0,diff,,,
Vision and Objective of Sustainable Development,10,4,diff,,,
The core values of Wistron ITS are Respect Clients Integrity Innovation and Excellence Our vision is to adapt to the needs of the international market to stand firm in Asia and to become,3,0,diff,,,
the leading global IT service provider In response to the international environment and industry development government regulations and policies Wistron ITS has been communicating and,12,4,diff,,,
cooperating with key stakeholders such as customers employees shareholders government suppliers and the general public on the path to sustainable development We have adopted the,17,4,diff,,,
five strategic axes of Sustainable Governance Friendly Workplace Social Engagement Environment for All and Digital Innovation as the direction for sustainable development and have,10,8,diff,,,
aligned these with the United Nations Sustainable Development Goals SDGs We will continue to deepen our environmental E social S economic and governance G initiatives in the,10,0,diff,,,
hope of creating more sustainable values for society and stakeholders,10,0,diff,,,
Vision and Objective of Sustainable Development,10,4,diff,,,
Using 2020 as the base year,12,26,diff,empty,,
both the average annual water,20,20,,,,
usage and the waste use,19,19,,,,
Scope 1 2 3 and set,12,26,diff,empty,,
intensity shall be reduced by,12,26,diff,empty,,
Set targets for water usage,20,20,,,,
Using 2020 as the base,12,26,diff,empty,,
emissions shall be 2 every,25,21,diff,,,
for our employees to facilitate,11,26,diff,empty,,
Chart resulting in a 30,18,26,diff,empty,,
increase in the number of,12,26,diff,empty,,
ensure the establishment of a,12,26,diff,empty,,
continuous increase of 30 in,12,26,diff,empty,,
the number of staff trained,8,26,diff,empty,,
increase the input of overseas,12,26,diff,empty,,
and establish at least two,12,26,diff,empty,,
home countries to contribute to,10,26,diff,empty,,
Continued to be at the top,18,26,diff,empty,,
Continued to be at the top,18,26,diff,empty,,
Continued to be at the top,18,26,diff,empty,,
5 of companies listed in the,18,26,diff,empty,,
