paragraph,predict_label,count,different,empty,diff rate,empty rate
Hon Hai Technology Group Foxconn adheres to our commitment of Sustainability Management EPS ESG with 6 ESG strategies and 32 longterm ESG targets formulated in 2022 as cornerstones to the Groups core tenet The environmental aspect of our ESG efforts places emphasis on green intelligence and circular economy The Group aligns with international trends in the face of increasingly severe climate issues We adhere to UN SDGs and support the Climate Action 100 initiative and participated in Carbon Disclosure Project Our overall responses to the CDP climate change questionnaire in 2021 were scored at the management level while the three items of climate governance Scope 1 2 emissions and emission reduction initiatives were scored at the leadership level,13,25,diff,,0.6910299003322259,0.27906976744186046
Submitted an application for the SBTi 15C target and expect to be validated and approved by 2023,12,26,diff,empty,,
Initiated Task Force on Climaterelated Financial Disclosures framework and became a TCFD Supporter,13,26,diff,empty,,
Became a founding member committee member and supervisor of Taiwan Alliance for Net Zero Emission Pledged to achieve net zero emissions in offices in Taiwan by 2030 and in production bases by 2050,21,21,,,,
2022 Global Views Monthly CSR ESG Award First Prize in the Category of Electronic Technology Industry,12,26,diff,empty,,
Foxconn Groups 3 Climate Targets,13,25,diff,,,
1 Comply with NDC or the carbon emission policies of local governments where Group Campuses are located,21,21,,,,
2 Align GHG emissions of our value chain with the Paris Agreement and realize our goal of zero GHG,25,21,diff,,,
3 Respond to and act upon the 3 targets proposed by Climate Action 100 steering committee,13,25,diff,,,
1 Strengthen climate change governance 2 Implement actions relating to GHG emissions within the Groups value chain 3 Provide disclosure in accordance with TCFD aim to release first TCFD Net Zero Vision Report in 2022,25,12,diff,,,
The Groups short mid and longterm carbon emission reducing targets,21,21,,,,
Net Zero Emission in the office of our Taiwanese campuses,21,26,diff,empty,,
Net Zero Emission in our value chain,21,26,diff,empty,,
Refine and allocate energy and carbon reduction targets to different business groups Formulate procedures for evaluating energy and carbon reduction management and implementation status in different business groups and reward business groups with remarkable achievements in energysaving measures We conduct quarterly and annual comprehensive evaluations while also implementing regular reviews and revisions each year,24,24,,,,
Our verified Scope 1 and 2 greenhouse gas emissions in 2021 increased 148 compared with 2020 mainly due to revenue growth and economic expansion which raised electricity usage and carbon emissions However the Group continues to be active in implementing carbon reductions and utilizing renewable energies,25,25,,,,
2025 Air Quality Monitoring Systems Target,21,6,diff,,,
install in 3 pilot campuses,2,26,diff,empty,,
Annual energy savings rate of 5,24,24,,,,
Achieved actual energysavings of 556,24,26,diff,empty,,
2025 Target At least 5 UL2799 Zero Waste to Landfill Operations GoldLevel Certification,19,19,,,,
Mid to Longterm ZeroWaste Campuses that implement zero landfill policies We have signed memorandums of cooperation with UL international verification institutes and aim to build Zero Waste Pilot Campuses through incorporation of Turbo Waste management systems digital management of waste using cloud technologies and quantitative systems that enable waste reduction,19,19,,,,
UL 2799 Platinum Level Certification,12,26,diff,empty,,
Reduce water use intensity by 6,20,20,,,,
2025 Wastewater discharge and water quality monitoring system target,20,20,,,,
Conducted external audits for management systems such as ISO 14001 ISO 50001 and ISO 140641,12,11,diff,,,
No major environmental protection violations in 2021,23,9,diff,,,
Invested in energysaving projects encompassing t ra n s f o r m a t i o n o f e n e rg y s av i n g p ro d u c t i o n processes improvement of airconditioning systems air compressorslighting equipment and other improvements,21,26,diff,empty,,
Patents for LowCarbon and Clean Technologies,4,26,diff,empty,,
Energysaving and energy management patents,24,11,diff,,,
Pollution control and environmental protection patents,23,9,diff,,,
Number of patents approved in 2021 81,4,26,diff,empty,,
Cumulative number of active patents 754,4,26,diff,empty,,
1 Emissions factors for natural gas and heat were derived from Chinas Guidelines for Accounting Methods and Reporting of Greenhouse Gas Emissions of Electronic Equipment Manufacturing Enterprises Trial emission factors for diesel and gasoline were taken from the UKs 2020 Government Greenhouse Gas Conversion Factors for Company Reporting emission factors for electricity used the electricity emission factor for China 06167kg CO2ekWh taken from the IEA Emission Factors 2020,25,25,,,,
2 The Global Warming Potential GWP used in the table was taken from the IPCC Fourth Assessment Report 2017,25,10,diff,,,
3 GHGs include CO2 CH4 N2O,25,26,diff,empty,,
4 We used the financial control criteria to compile GHG emission,25,26,diff,empty,,
5 Due to the widespread operational scope of the Group we are still compiling data on Scope 3 GHG emissions for 2021 and aim to disclose this information at the end of 2022,25,21,diff,,,
1 Electricity heating value is calculated as 860 kcalkWh,24,26,diff,empty,,
