paragraph,predict_label,count,different,empty,diff rate,empty rate
Corporate Social Responsibility Annual Report,10,10,,,0.7015276145710928,0.3407755581668625
About The Report About the report 4,12,26,diff,empty,,
Quanta Profile Corporate Governance Profile of Quanta computer 26,18,0,diff,,,
Love The Earth Occupational Health Safety Management 56,9,9,,,,
Social Participation Social Participation Introduction 93,10,10,,,,
Quanta Culture Education Foundation 94,2,8,diff,,,
Corporate Governance and Ethics 30,0,12,diff,,,
Quanta Commitment Stakeholders Communication Message from Chairman Vice Chairman 11,12,8,diff,,,
Quanta CSR commitment Stakeholders Identification 16,12,26,diff,empty,,
Green Supply Green Supply Chain Management 83,17,11,diff,,,
Responsible minerals due diligence and management 87,12,11,diff,,,
Quanta CSR communication Questionnaire 131,12,8,diff,,,
About The Report About the report Annual major progress,12,26,diff,empty,,
Boundary and Scope of the Report Quanta Computer Group Quanta CSR annual report covering CSR related information on numerous Quanta sites including Quanta Research and Development Complex QRDC QTMCQuanta Taiwan Manufacturing City Quanta Shanghai ManufacturingCity QSMC Quanta Chongqing Manufacturing City QCMC Quanta Manufacturing Bangkok QMB QSMC Quanta Shanghai Manufacturing City includes Dafeng Shanghai Computer Co Ltd Dagong Shanghai Computer Co Ltd Dali Shanghai Computer Co Ltd Daren Shanghai Computer Co Ltd Daqun Shanghai Computer Co Ltd and Dawei Shanghai Logistics and Warehouse Co Ltd Quanta Chongqing Manufacturing City QCMC TechWave Chongqing Logistics Co Ltd and CloudTech Chongqing Technology Co Ltd Please refer to the annual report of Quanta Computer Incorporated under Information Related to Affiliated Businesses in Chapter VIII Special records The boundary outside the organization includes supply chain management and local communities CSMC Quanta Changshu Manufacturing City was excluded from the report scope and boundaries and QMB QMB Co Ltd was included,17,15,diff,,,
Report period Quanta Computer has been releasing annual CSRs for 12 consecutive years The 2020 report discloses information from January 1st 2020 to December 31st 2020 and contains few mid and longterm projects,12,26,diff,empty,,
Referencing standard This report has been prepared in accordance with the GRI Standards Core option,12,11,diff,,,
External assurance Type 1 engagement of AA1000 2008 is expected to be applied to the thirdparty assurance Bureau Veritas Certification Taiwan Quantas CSR Committee members and senior executives also participated in the assurance process Quanta and BV Taiwan are independent companies the disclosure indicators and independent assurance opinion statements can refer to the comparison table and statement at the end of the report,12,7,diff,,,
Report management and public declaration The report is written in Traditional Chinese and English In accordance with the provisions of Taiwan Stock Exchange Corporation Rules Governing the Preparation and Filing of Corporate Social Responsibility Reports by TWSE Listed Companies announcements and declarations shall be made to the Market Obser vation Post System before June 30th Relevant announcements and publications have also been made on Quantas website under the section wwwquantatwcom CSR,10,10,,,,
Ensure a consistent understanding between the external environment and the company For relevant information on this repor t or Quanta Corporate Social Responsibility events contact windows for various operational locations are as below In accordance with due professional ethics Quanta Computer IncThe Company has established the Media Relations Policy regarding the Official Spokespersons Personnel of Quanta Computer Inc authorized to serve as the primary press spokespersons for The Company are responsible for coordinating all press and analyst communications on behalf of Quanta Computer Inc The companys official spokesperson system may quote or clarify Quantas external information and financial data through official or nonofficial communication channels in order to ensure a consistent understanding between the external environment and the company,12,10,diff,,,
QRDC Quanta Research and Development Complex,12,4,diff,,,
QTMC Quanta Taiwan Manufacturing City,17,15,diff,,,
QSMC Quanta Shanghai Manufacturing City,17,15,diff,,,
DepartmentHuman Resource Center A d d r e s s N o 2 1 1 W e n H w a 2 n d RdKueishanTaoyuan 33377Taiwan Contact windowIsabella Huang Tel88633272345 Fax88633973003 Mailqcihrquantatwcom,12,26,diff,empty,,
DepartmentHuman Resource Center AddressNo 188 No 220WenHwa 2nd RdKueishanTaoyuan 33377Taiwan Contact windowIsabella Huang Tel88633272345 Fax88633973003 Mailqcihrquantatwcom,2,26,diff,empty,,
QSMCQuanta Shanghai Manufacturing City DepartmentSocial Responsibility Management Department AddressNo68SanZhuang RdSongjiang EPZ Contact windowCollines Zhou Tel862137818168 Fax862157748291 Mailcommunicationchquantacncom,12,0,diff,,,
QCMC Quanga Chongqing Manufacturing City,17,15,diff,,,
D e p a r t m e n t S o c i a l Re s p o n s i b i l i t y Management Department AddressNo18Zongbao RoadShapingba DistrictChongqingChina 401332 Contact windowVarya Wang Tel862388118168 Fax862388119168 Mailcommunicationchquantacncom,12,11,diff,,,
Department QMB General Affairs Section A d d r e s s N o 2 3 8 M o o 2 Ta m b o n Nongchak Amphoe Banbueng Chonburi Thailand 20170 Contact window Passakorn Sukkasem Tel 66 033265788,12,26,diff,empty,,
Participate in Carbon Disclosure Project CDP,12,12,,,,
Work with carbontrading demo cities,24,26,diff,empty,,
