paragraph,predict_label,count,different,empty,diff rate,empty rate
The information disclosure of the report is based on sustainability,12,12,,,0.8478043912175649,0.45808383233532934
topics management strategies goals current status and future,3,11,diff,,,
directions To better respond to topics under the attention of,2,26,diff,empty,,
interest parties Qisda specically plans the website for corporate,12,26,diff,empty,,
social responsibility CSR Besides presenting excerpts of the,10,10,,,,
results of endeavors of Qisda in various aspects of CSR in the,12,26,diff,empty,,
newest year the CSR reports of previous years are available for,12,26,diff,empty,,
download or search at the website,12,26,diff,empty,,
This symbol indicates that you can link to external related content,22,26,diff,empty,,
This symbol indicates that you can link to related content,22,26,diff,empty,,
Cover story Qisda continues to transform itself,18,26,diff,empty,,
and adds many strategic partners In the future,3,26,diff,empty,,
Qisda will run faster via optimizing resource,24,26,diff,empty,,
allocation continuing to strive for the corporate,12,26,diff,empty,,
vision of Bringing Enjoyment N Quality to Life,8,6,diff,,,
The publish date of the report falls on June 2020 Qisda starting from 2007 in publishing the rst CSR report continuously disclose and publish the report each June,12,26,diff,empty,,
Geographical scope Include Qisda headquarter Taiwan and the most important manufacturing site Suzhou China Also starting from 2018 the report expanded the content of CSR for subsidiaries and disclosed related information at the fth chapter Grow Together HandinHand,3,15,diff,,,
Time range January 1December 31 2019,3,26,diff,empty,,
Collect data according to the above report ranges indicators and calculation formula of data are described in chapter notes,12,22,diff,,,
The content of the report has been audited internally by related staff providing those to be amended to supervisors of various departments to add and verify we also outsource to external independent thirdparty to audit Bureau Veritas Group BVCto verify the report meets the Comprehensive and AA 1000 AS 2008 Addendum High Assurance Type II standards of GRI Standards Via internal and external audit mechanisms information disclosure quality can be guaranteed Also the disclosure of the report meets standards in Taiwan and abroad such as Corporate Social Responsibility Best Practice Principles Filing of Corporate Social Responsibility Reports by TWSE Listed Companies Social Responsibility Guidance ISO 26000 and Sustainable Development Goals SDGs,10,10,,,,
Sustainable Risk Office Qisda Corporation,18,12,diff,,,
157 Shanying Rd Guishan Dist Taoyuan City,3,26,diff,empty,,
Include names of companies and subsidiaries in the nancial reports Qisda Corporation Qisda Suzhou Co Ltd QCSZ Qisda Electronic Suzhou Co Ltd QCES Qisda Optronics Suzhou Co Ltd QCOS and Qisda Precision Industry Suzhou Co Ltd QCPS For others please refer to the annual report The data of certain chapters or performance indicators will include overall global data for the sake of completeness For data not completely included in that for Taiwan and Suzhou China they will be described in the notes of respective chapter,18,22,diff,,,
Include names of subsidiaries listed in the annual report BenQ Dialysis Tech Corporation BenQ Medical Technology Corporation LILY Medical Corporation DFI Inc and Partner Tech Corp,18,26,diff,empty,,
Message from Our Chairman and CEO,7,26,diff,empty,,
Sustainable Development Key Performance Indicators at a Glance 20172020,3,8,diff,,,
Build A Happy and Healthy Workplace,9,8,diff,,,
Friendly to Earth Care for Society,2,26,diff,empty,,
Climate Strategy and Carbon Management,13,25,diff,,,
Hand in Hand and Create Growth Together,2,4,diff,,,
Note Material topics concerned by stakeholders are marked with the following icons,10,26,diff,empty,,
Hand in Hand and Create Growth Together,2,4,diff,,,
Average customer satisfaction score reached,22,6,diff,,,
Average activity satisfaction rate reached Maximum 5,9,6,diff,,,
Average employee training hours reached,11,8,diff,,,
Number of participants in innovative cultural events reached,10,26,diff,empty,,
Hours of employee participation of charitable events reached,12,8,diff,,,
Percentage of China local purchase reached,12,26,diff,empty,,
Key supplier social responsibility and environmental safety hygiene paper investigation and onsite audit completion rate reached 736 TWSE RAFI Taiwan High Compensation 100 Index Taiwan iSports enterprise certicate by Sports Administration under Ministry of Education MOE,10,9,diff,,,
2020 HR Asia Best Companies to Work For In Asia,3,26,diff,empty,,
2020 BenQ Foundation enabled NT272 million revenues for remote areas,12,26,diff,empty,,
Digital light processingDLP projector shipments top the world,24,26,diff,empty,,
LCD monitors shipments ranked second globally,18,26,diff,empty,,
Consolidated revenues increased 138 annually third consecutive record high AwardedTaiwan Top10 Best Sustainability Enterprise Award Manufacture Excellent Practice in Corporate Sustainability Growth Through Innovation Award Excellent Practice in Corporate Sustainability Creativity in Communication Award and Platinum Award of Electronic Information Manufacturing Industry in the category of Corporate Sustainability Reports from Taiwan Institute for Sustainable Energy,3,15,diff,,,
Electricity consumption increased 18 for each million US dollar value compared with that in 2009,24,26,diff,empty,,
Water consumption lowered 46 for each million US dollar value compared with that in 2009,20,20,,,,
Average energysaving of production line was 2506 reduction in volume 2642 carbon reduction 244 ecological benets increased 4483 compared with that in 2015,24,25,diff,,,
Disabled injury severity rate DISR reduced 93 Disabled Injury Frequency Rate DIFR reduced 99 compared with that in 2009,9,9,,,,
Qisda TwinStar factory received again Green Factory certicate from Industrial Development Bureau IDB of MOEA,12,4,diff,,,
Message from Our Chairman and CEO,7,26,diff,empty,,
M e s s a g e,12,26,diff,empty,,
f r o m O u r C h a,12,26,diff,empty,,
a n d C E O,12,26,diff,empty,,
The year 2020 was a year of upheaval in the whole world The unexpected COVID19 pandemic continuing USChina deadlock and emergent climate change conditions compelled countries of the world to confront unprecedented challenges It has become more urgent for the companies to speed up their transformation,13,11,diff,,,
