paragraph,predict_label,count,different,empty,diff rate,empty rate
Address 2F No 13 Innovation Rd I Hsinchu Science Park,15,3,diff,,0.8207211782630777,0.3417978669375317
13 Identification of Material Issues,9,26,diff,empty,,
24 Response to the Pandemic,13,5,diff,,,
51 Talent Attraction and Retention,8,8,,,,
54 Human Rights and Employee,10,10,,,,
Welcome to the 2021 Sustainability Report issued by Novatek Microelectronics Corporation hereinafter referred to as Novatek The content of the Report upholds,3,0,diff,,,
the principles of integrity and pragmatism as well as transparency and openness It specifically describes the practices and actions of Novatek in 2021 in terms of,0,0,,,,
sustainable development Through this Report stakeholders from all walks of life who are concerned about Novatek can understand more about Novateks investment and,15,4,diff,,,
achievements in the economic environmental and social aspects The economic aspect of this years Report focuses on the importance of information security to the,1,9,diff,,,
Company and the impact of the COVID19 pandemic the environmental aspect focuses on the disclosure of strengthening product energy efficiency and implementing,15,24,diff,,,
supply chain management the social aspect continues to focus on the building of a diversified workplace and the impact of cultivating social participation To achieve,17,10,diff,,,
the goal of sustainable development Novatek will continue to examine its actions and respond in goodwill to the expectations of all its stakeholders,23,4,diff,,,
The information disclosed in this Report covers the year 2021 from,12,26,diff,empty,,
This Report gathered Novateks internal and external issues related to corporate governance,12,0,diff,,,
January 1st 2021 to December 31st of the same year It details,12,26,diff,empty,,
economy environment and society to understand the issues concerned by stakeholders based on,10,26,diff,empty,,
Novateks actions and performance in the economic environmental,18,8,diff,,,
the results of materiality analysis so as to formulate the structure of this Report and the focus of,12,4,diff,,,
and social aspects in terms of corporate governance operational,12,0,diff,,,
information disclosure In addition the contents of this Report have been compiled and disclosed,12,12,,,,
performance environmental sustainability partnerships employees,10,0,diff,,,
in accordance with the Core Options of the GRI Standards published by the Global Sustainability,12,0,diff,,,
rights and social participation Apart from financial information,10,10,,,,
covering Novateks affiliated companies and subsidiaries worldwide,4,26,diff,empty,,
the scope of this Report also encompasses information about,12,26,diff,empty,,
the four operating bases in Hsinchu including the corporate,18,26,diff,empty,,
headquarters and the business of fices in Taipei and Tainan,12,26,diff,empty,,
The statistical data disclosed in this Report has been provided by relevant responsible units,12,22,diff,,,
of Novatek The financial performance data has been made public after CPAs verification and,18,8,diff,,,
is consistent with the Companys annual report link data The basis for the calculations and,12,22,diff,,,
estimations adopted for environmental performance is originated from the information made,3,8,diff,,,
public by the government and the calculations were done by Novatek The social performance,12,8,diff,,,
data comes from the Novatek Foundation,12,22,diff,,,
Internal audit The contents of this Report were provided by various responsible units after been approved by the corresponding supervisors After compilation by the,12,12,,,,
Executive Secretary of the ESG Sustainability Committee the contents were reviewed by the supervisors of the responsible units for correctness They were,12,0,diff,,,
then verified by the Chairman of the ESG Sustainability Committee before submitting to the Chairman of Novatek for approval,12,0,diff,,,
External verification To strengthen the accuracy and credibility of this Report Novatek has entrusted the Taiwan branch of the independent and trustworthy,0,26,diff,empty,,
British Standards Institution BSI Taiwan to carry out verification in accordance with the AA 1000 AS v3 type 1 medium assurance level,12,11,diff,,,
and the GRI Standard core options Please refer to the Appendix P148 of this Report for assurance statement The financial data has,12,22,diff,,,
been audited and confirmed by Ernst Young and was calculated in New Taiwan Dollars NTD Regarding the management system the,12,11,diff,,,
Company has obtained ISO 9001 ISO 14001 and ISO 45001 Management System certificates and maintained their validity,14,11,diff,,,
Novatek issues the Sustainability Report every year and,15,0,diff,,,
Novatek sincerely welcomes all our stakeholders to continuously us feedback You,3,26,diff,empty,,
the Report is available for download from the ESG page of,12,26,diff,empty,,
may provide us with your valuable opinions and suggestions through the following,12,26,diff,empty,,
Date of first issuance June 2017,12,26,diff,empty,,
Date of previous issuance June 2021,12,26,diff,empty,,
Date of current issuance June 2022,12,26,diff,empty,,
Date of next issuance expected in June 2023,12,26,diff,empty,,
Contact JunXian Huang and AiJu Peng Executive Secretary of the,12,26,diff,empty,,
Address 2F No 13 Innovation Road 1 Hsinchu Science Park Taiwan,3,3,,,,
Tel 88635670889 ext 25190 25138E,12,26,diff,empty,,
The world has experienced the economic turmoil caused by the COVID19 pandemic However the business opportunities of telecommuting catalyzed by the pandemic have also accelerated the digital transformation of businesses around the world Benefiting from the business opportunities of telecommuting as well as the continuous growth of the stayathome economy the demand for the semiconductor industry is increasing With the joint efforts of all employees Novateks annual revenue in 2021 passed the NT 100 billion mark for the first time reaching NT 135366 billion or an increase of 693 compared with NT7 9956 billion in the previous year The gross margin reached 4978 which is 1481 percentage higher compared with that of previous year 3497 The net profit after tax was NT 38866 billion an increase of 2289 from NT 11817 billion of the previous year while the earnings per share reached NT 6387 The Companys revenue gross margin and net profit all reached record highs setting a new milestone in operational performance,18,4,diff,,,
The pandemic has boosted the demand for various consumer electronics and application products However due to the inadequate capacity of the semiconductor supply chain as well as the shortage of wafers the prices of IC chips have climbed significantly With the advantage in capacity control and high scheduling flexibility the shipment of Novateks mobile phone display driver and touch integrated ICs continued to reach record highs leading the industry in market share Novateks revenue in large size panel driver ICs timing control ICs and TV SoCs also continued to grow In addition due to the success in the development of the automotive market the sales of automotive display driver ICs have increased exponentially The automotive display driver and touch integrated ICs have also been successfully introduced to largebrand car manufacturers for mass production Furthermore Novatek has fully grasped the market opportunities to expand its market share as well as the shipment of display system power management ICs The shipment and market share of smart security solutions for brand customers increased and the sales climbed sharply In 2021 with the rising of both the price and sales volume of various products revenue continued to reach record high,15,4,diff,,,
Novatek is committed to improving corporate governance and attaching great importance to corporate sustainable development In response to the continuous expansion of operations the newly purchased office building in Tai Yuen HiTech Industrial Park was awarded the Green Building Label Silver Level by the Ministry of the Interior The design and planning of the office area fulfilled the concept of energy saving and carbon reduction achieving the goal of environmental sustainability through real practices The building was ready for use in September 2021 To actively recruit and retain key RD talents the salary structure of employees has been adjusted to make the reward system more effective for employee motivation and retention In addition childcare allowances have been added in response to the governments policy of encouraging childbirth With regards to social welfare Novatek has long supported sports promotion and offered care for the disadvantaged in rural areas actively encouraging its employees to engage in related events In 2021 the percentage of Novateks employees who participated in charity activities reached 415 We organized the Yunlin Summer Story Camp for Disadvantaged School Children the Yunlin and Hualien Rural Elementary School Reading Promotion Programs the Hsinchu County Rural Elementary School Night Angel Lighting Program and the percussion courses for visually impaired students in Changhua to provide 11 sessions and a total of 1233 hours of volunteer services Moreover Novatek was awarded the Youth Volunteer Outstanding Utilization Unit by the Ministry of Education for four consecutive years giving back to the society with practical actions,2,9,diff,,,
Novatek continues the five major dimensions of the previous year to continuously and steadily implement corporate social responsibility and sustainable development based on Corporate Governance Partners C o P r o s p e r i t y E n v i r o n m e n t a l Sustainability Friendly Workplace and Social Participation,10,10,,,,
Corporate governance is the cornerstone of enterprises sustainable development Novatek attaches great importance to corporate governance Not only does it adhere to the principle of focusing on its own business and integrity management t h e C o m p a n y a l s o o p e r a t e s i n compliance with government laws and regulations while protecting the rights and interests of its shareholders and taking into account the interests of stakeholders Our continuous inclusion in the TWSE Corporate Governance 100 Index the FTSE4Good TIP Taiwan ESG Index the TWSE RA Taiwan Employment Creation 99 Index for constituent stocks and the top 20 of companies for corporate governance evaluation are positive affirmations of the Companys corporate governance We will continue to work hard to enable the steady and longterm development of Novatek In addition we have instilled an awareness of corporate ethics in all our employees through the establishment of the Code of Integrity Business Operation and the Guidelines for Integrity Business Practices and Procedures thereby establishing and implementing corporate governance mechanisms from top to bottom which will enable Novatek to develop in a longterm and stable manner This is our commitment to all our stakeholders,0,0,,,,
